City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,coolum beach,-26.5333,153.1,74.34,61,61,6.31,AU,1628223225
1,vilhena,-12.7406,-60.1458,67.87,46,77,2.17,BR,1628223227
2,challapata,-18.9,-66.7667,39.67,31,0,3.76,BO,1628223228
3,hilo,19.7297,-155.09,80.33,82,90,9.22,US,1628223213
4,pimentel,-6.8367,-79.9342,63.0,84,0,3.0,PE,1628223231
5,ladan,50.5196,32.5818,68.67,62,71,9.6,UA,1628223137
6,castro,-24.7911,-50.0119,48.25,94,100,5.61,BR,1628223237
7,san policarpo,12.1791,125.5072,89.37,57,100,6.67,PH,1628223238
8,sept-iles,50.2001,-66.3821,59.05,94,89,3.76,CA,1628223240
9,antalaha,-14.9003,50.2788,66.96,83,32,7.38,MG,1628223242
10,mataura,-46.1927,168.8643,49.48,82,79,4.34,NZ,1628223243
11,pevek,69.7008,170.3133,39.74,92,100,5.01,RU,1628223135
12,mar del plata,-38.0023,-57.5575,54.12,28,0,1.01,AR,1628223156
13,grand-santi,4.25,-54.3833,71.74,99,98,1.5,GF,1628223247
14,rikitea,-23.1203,-134.9692,74.16,75,10,14.5,PF,1628223141
15,kaeo,-35.1,173.7833,61.32,70,52,14.09,NZ,1628223250
16,longyearbyen,78.2186,15.6401,42.64,75,75,3.44,SJ,1628223252
17,albany,42.6001,-73.9662,66.88,92,4,3.58,US,1628223255
18,yar-sale,66.8333,70.8333,66.69,63,100,7.0,RU,1628223256
19,ostrovnoy,68.0531,39.5131,54.1,72,100,6.93,RU,1628223258
20,vaini,-21.2,-175.2,75.36,83,20,10.36,TO,1628223259
21,punta arenas,-53.15,-70.9167,35.71,87,75,25.32,CL,1628223210
22,dikson,73.5069,80.5464,47.01,95,24,5.12,RU,1628223262
23,puerto ayora,-0.7393,-90.3518,70.56,92,68,5.99,EC,1628223267
24,torbay,47.6666,-52.7314,66.67,77,93,11.48,CA,1628223268
